,num_airplane,sref,velocity,alpha
874,1,0.5,155,6
14084,4,1.0,230,8
7914,2,1.5,255,16
5896,2,1.0,240,12
6573,2,1.0,50,-20
3978,1,1.5,75,-2
7435,2,1.5,135,-18
875,1,0.5,160,8
15643,4,1.5,225,18
6291,2,1.0,265,4
4780,2,0.5,185,6
11589,3,1.5,105,16
13294,4,0.5,180,-18
16215,4,1.5,160,-14
13698,4,1.0,250,-8
8559,3,0.5,230,4
15411,4,1.5,40,16
6638,2,1.0,50,-16
2164,1,1.0,105,-18
222,1,0.5,145,4
5553,2,1.0,150,-2
10396,3,1.0,315,-18
15269,4,1.5,305,-16
12399,4,0.5,255,-2
9608,3,1.0,275,2
12334,4,0.5,255,-6
10588,3,1.0,300,-12
10315,3,1.0,235,-12
13416,4,0.5,140,16
1869,1,1.0,255,-20
676,1,0.5,140,-12
10926,3,1.5,40,-8
3790,1,1.5,110,0
1584,1,1.0,130,-2
5146,2,0.5,65,-18
12981,4,0.5,240,-14
1105,1,0.5,10,6
9064,3,0.5,155,6
10357,3,1.0,120,-12
14354,4,1.0,280,2
15174,4,1.5,155,4
12658,4,0.5,250,12
11413,3,1.5,200,0
13629,4,0.5,230,-20
11269,3,1.5,130,6
2319,1,1.0,230,-2
13463,4,0.5,50,-16
2802,1,1.5,45,-2
9841,3,1.0,140,6
6719,2,1.0,130,20
11039,3,1.5,280,8
11431,3,1.5,290,-6
5033,2,0.5,150,8
12425,4,0.5,60,8
12463,4,0.5,250,0
10151,3,1.0,65,-4
1249,1,0.5,80,0
14709,4,1.0,105,-2
2071,1,1.0,290,6
6376,2,1.0,40,6
1290,1,0.5,285,-2
7441,2,1.5,165,-6
2357,1,1.0,95,-10
15465,4,1.5,310,-2
5823,2,1.0,200,-8
14103,4,1.0,325,4
13661,4,1.0,65,2
14632,4,1.0,45,12
12753,4,0.5,75,-8
5060,2,0.5,285,20
2398,1,1.0,300,-12
5559,2,1.0,180,10
4586,2,0.5,190,-4
8272,3,0.5,95,18
12411,4,0.5,315,-20
4737,2,0.5,295,4
3908,1,1.5,50,-16
15758,4,1.5,150,-4
13660,4,1.0,60,0
16246,4,1.5,315,6
3189,1,1.5,30,16
15774,4,1.5,230,-14
15047,4,1.5,170,2
14486,4,1.0,290,14
13923,4,1.0,75,-20
4659,2,0.5,230,16
15338,4,1.5,325,-4
11839,3,1.5,55,12
1407,1,1.0,220,-20
8823,3,0.5,250,-14
15865,4,1.5,35,0
4505,2,0.5,110,2
14091,4,1.0,265,-20
12453,4,0.5,200,-20
3025,1,1.5,185,-18
916,1,0.5,40,6
14836,4,1.0,90,0
7333,2,1.5,275,-12
3033,1,1.5,225,-2
500,1,0.5,235,14
8280,3,0.5,135,-8
7746,2,1.5,65,16
11624,3,1.5,280,2
13003,4,0.5,25,-12
3768,1,1.5,325,-2
5639,2,1.0,255,2
8985,3,0.5,85,16
4374,2,0.5,105,-8
16056,4,1.5,15,4
7593,2,1.5,275,4
8062,2,1.5,20,18
7529,2,1.5,280,2
1645,1,1.0,110,-6
14956,4,1.0,40,-12
5810,2,1.0,135,8
7466,2,1.5,290,2
5669,2,1.0,80,20
215,1,0.5,110,-10
1857,1,1.0,195,-2
169,1,0.5,205,-18
2865,1,1.5,35,-2
11929,3,1.5,180,-18
4232,2,0.5,45,2
15472,4,1.5,20,12
15641,4,1.5,215,14
16082,4,1.5,145,14
9923,3,1.0,225,2
14081,4,1.0,215,2
11170,3,1.5,285,18
11270,3,1.5,135,8
14223,4,1.0,275,-8
14009,4,1.0,180,-16
15840,4,1.5,235,-8
14321,4,1.0,115,20
14363,4,1.0,325,20
7726,2,1.5,290,18
730,1,0.5,85,12
12480,4,0.5,10,-8
3712,1,1.5,45,12
15474,4,1.5,30,16
6930,2,1.5,210,-20
14621,4,1.0,315,-10
6329,2,1.0,130,-4
3201,1,1.5,90,-2
10672,3,1.0,70,-12
9902,3,1.0,120,2
12997,4,0.5,320,18
13718,4,1.0,25,-10
11057,3,1.5,45,2
1967,1,1.0,95,8
4802,2,0.5,295,8
9767,3,1.0,95,-16
642,1,0.5,295,4
13063,4,0.5,325,-18
6714,2,1.0,105,10
12089,3,1.5,330,8
3389,1,1.5,55,-4
4203,2,0.5,225,-14
8143,2,1.5,100,12
7,1,0.5,45,-6
4867,2,0.5,295,12
13199,4,0.5,30,2
9290,3,0.5,310,-4
226,1,0.5,165,12
4959,2,0.5,105,-14
1723,1,1.0,175,-18
4563,2,0.5,75,-8
5062,2,0.5,295,-18
4441,2,0.5,115,0
1703,1,1.0,75,-16
813,1,0.5,175,10
1175,1,0.5,35,20
11631,3,1.5,315,16
9339,3,0.5,230,10
5777,2,1.0,295,-16
13315,4,0.5,285,-18
2020,1,1.0,35,-12
7383,2,1.5,200,4
16249,4,1.5,330,12
9205,3,0.5,210,-6
6552,2,1.0,270,-20
5253,2,0.5,275,-14
14974,4,1.0,130,-18
11392,3,1.5,95,0
6206,2,1.0,165,2
4127,2,0.5,170,2
2606,1,1.0,40,-16
3505,1,1.5,310,18
12564,4,0.5,105,-8
1592,1,1.0,170,14
11255,3,1.5,60,20
12523,4,0.5,225,-6
1798,1,1.0,225,6
5997,2,1.0,95,4
10010,3,1.0,10,8
13949,4,1.0,205,-10
11521,3,1.5,90,6
5420,2,0.5,135,-16
15557,4,1.5,120,14
5642,2,1.0,270,8
5550,2,1.0,135,-8
4614,2,0.5,330,10
11532,3,1.5,145,-14
2645,1,1.0,235,20
11781,3,1.5,90,-20
13214,4,0.5,105,-10
11401,3,1.5,140,18
7273,2,1.5,300,-6
3400,1,1.5,110,18
4616,2,0.5,15,14
1607,1,1.0,245,2
6200,2,1.0,135,-10
14531,4,1.0,190,20
13944,4,1.0,180,-20
11742,3,1.5,220,-14
14999,4,1.0,255,-10
14780,4,1.0,135,14
2030,1,1.0,85,8
10577,3,1.0,245,8
5351,2,0.5,115,14
3758,1,1.5,275,20
9694,3,1.0,55,6
9463,3,0.5,200,6
841,1,0.5,315,-18
8364,3,0.5,230,-8
6488,2,1.0,275,20
5648,2,1.0,300,20
15231,4,1.5,115,-8
9178,3,0.5,75,-18
2730,1,1.5,10,-20
3551,1,1.5,215,-16
4949,2,0.5,55,8
13459,4,0.5,30,18
3224,1,1.5,205,2
10977,3,1.5,295,10
6982,2,1.5,145,0
5361,2,0.5,165,-8
509,1,0.5,280,-10
949,1,0.5,205,-12
2163,1,1.0,100,-20
16244,4,1.5,305,2
374,1,0.5,255,14
8187,2,1.5,320,16
10185,3,1.0,235,-20
7500,2,1.5,135,-14
13717,4,1.0,20,-12
7423,2,1.5,75,0
8525,3,0.5,60,20
5123,2,0.5,275,20
4873,2,0.5,325,-18
10360,3,1.0,135,-6
11341,3,1.5,165,-18
4278,2,0.5,275,10
15896,4,1.5,190,20
15992,4,1.5,20,2
4262,2,0.5,195,20
12264,3,1.5,230,-20
8340,3,0.5,110,-14
15553,4,1.5,100,6
2149,1,1.0,30,-6
14323,4,1.0,125,-18
4364,2,0.5,55,14
11831,3,1.5,15,-4
1675,1,1.0,260,12
13974,4,1.0,330,-2
14403,4,1.0,200,16
6608,2,1.0,225,8
2469,1,1.0,330,4
3316,1,1.5,15,18
14831,4,1.0,65,-10
8581,3,0.5,15,6
11495,3,1.5,285,-4
6547,2,1.0,245,12
13455,4,0.5,10,10
9712,3,1.0,145,0
13489,4,0.5,180,-6
8195,3,0.5,35,-10
2463,1,1.0,300,-8
283,1,0.5,125,0
291,1,0.5,165,16
15529,4,1.5,305,0
15591,4,1.5,290,-2
8050,2,1.5,285,-6
1448,1,1.0,100,20
13250,4,0.5,285,20
8674,3,0.5,155,-18
6471,2,1.0,190,-14
5220,2,0.5,110,4
14755,4,1.0,10,6
